date, time: 2019-11-18, 17-01-48
1:expl_var_test 2:expl_var_train 3:VLB 4:used_labels 5:mf_iter 6:inf_time 7:pred_time
0.19114155626201135 0.11601707902888558 -12197.86218596041 4 150 16.213083799999822 1.154876800000011
0.191055855879508 0.12159010625964974 -12195.867768166578 4 150 16.22368879999999 1.150180999999975
0.18918096162682574 0.10020246109181297 -12099.96001451149 5 150 15.964188199999853 1.3549456000000646
0.18872027669533942 0.10113629013299164 -12078.984477914435 5 150 15.811796100000038 1.342306100000087
0.033781836661436415 -0.04026342186980503 -13033.210459171389 2 150 13.995456399999966 0.6817340000000058
0.19107160726679528 0.11877205617310993 -12193.195939571975 4 150 15.557011899999907 1.1320084000001316
0.19077642806522954 0.11584320823499072 -12226.733674559579 4 150 15.432053900000028 1.135628099999849
0.03424177994103561 0.02031175367498872 -13047.61572229823 2 150 14.758877199999915 0.6804090999999062
0.19103630271822292 0.10022439248326842 -12207.431651720173 4 150 14.858870300000035 1.1406313000002228
0.19061461911505662 -0.6055718055539479 -12208.509464851908 4 150 13.233923299999788 1.1411789999999655
0.18734292910541228 -0.05362832622492619 -12128.7028644265 5 150 14.971860200000037 1.3760081999998874
0.18968522832435464 0.06829002725577638 -12064.778734546773 5 150 14.953299699999889 1.372324499999877
0.19106543153891853 0.1158666565600126 -12212.159576890925 4 150 17.439050799999904 1.1040891000000101
0.19077325402244172 0.11285546348749931 -12099.778143870404 5 150 16.117694699999902 1.3240241999999398
0.18802979900839312 0.11832210778914111 -12081.552467600002 5 150 16.186654799999815 1.33464650000019
0.19108132452741952 0.09987054946650342 -12196.311481359564 4 150 15.623489199999995 1.1088311000000886
0.18793457643591005 0.11353949926645734 -12012.433426936435 6 150 17.195681599999944 1.5436921999998958
0.19103956451271534 0.10965430444212665 -12203.32141906926 4 150 14.407021299999997 1.101396799999975
0.19434089057532478 0.02734360004030889 -12073.326182475228 6 150 14.531629100000146 1.5526131999999961
0.18871576273872737 0.10070654875381335 -12073.257775931159 5 150 16.21409850000009 1.3249889999999596
0.19146516761909804 0.12006103268962122 -12087.542580741001 5 150 21.088723500000015 1.3270270000000437
0.18966721645428375 0.10129944179469495 -12063.616015432071 5 150 15.844044199999871 1.3205814999998893
0.18653092261167126 0.1148031048385798 -12107.404068054962 5 150 13.896041800000148 1.3325820000000022
0.19113406698368085 0.07490820960795064 -12208.491993612353 4 150 16.286558000000014 1.0989031999999952
0.1910497275429287 0.12158775252456354 -12198.704218776093 4 150 14.263859400000001 1.105936699999802
0.1907309594635478 0.09122787607696425 -12102.804119898301 5 150 15.810777500000086 1.322434899999962
0.03378837945606117 0.0025520943806029983 -13036.991117419484 2 150 14.123274700000138 0.6521699999998418
0.18918075336561027 0.04548155879854676 -12071.783043104653 5 150 15.9087348999999 1.3373606999998628
0.18931805209937558 0.11595158015805274 -12075.37012879398 5 150 15.448369700000057 1.3410890000000109
0.1895160484451709 0.07091362922104916 -12086.237921404965 5 150 14.073080699999991 1.3285251999998309
0.14691291057789413 0.09855968411151594 -12520.708927643356 3 150 13.869068599999991 0.8871117999999569
0.191073319567306 0.10209908785208899 -12190.276456969506 4 150 16.1988159 1.1198801000000458
0.19104596513847572 0.1081602260191753 -12202.544293779167 4 150 15.037810100000115 1.1099976999998944
0.19117429037222766 0.029232373226866 -12220.387260221674 4 150 13.811503399999992 1.1170243000001392
0.03379889807161729 0.014544425529739002 -13032.797008915877 2 150 14.416849600000205 0.6536379000003762
0.19103322731404848 0.09879395691782844 -12190.30188215054 4 150 15.200487800000246 1.1115540999999212
0.19067643935222156 0.11861668393780711 -12141.301963579564 5 150 15.710996700000123 1.329772999999932
0.19103675293476874 0.1203361182641971 -12197.89746760167 4 150 15.516083999999864 1.1119785000000775
0.18774653250127926 0.11332678145878661 -12099.186979590813 5 150 15.22468630000003 1.3347948000000542
0.1891390099513205 0.032148011403744015 -12080.188024831166 5 150 14.37356920000002 1.3141731000000618
0.19163779761745225 0.11610373651538308 -12091.59221973466 5 150 13.711417199999687 1.3217094000001453
0.1884969420661845 0.11478798674546209 -12077.48575537273 5 150 15.751726899999994 1.3267720000003465
0.18814761126590063 0.09524898276202431 -12069.524255900535 5 150 15.776363499999661 1.402148699999998
0.1893391634993915 0.06326219711859016 -12094.409063036554 5 150 14.714015400000335 1.3823434999999336
0.19103766197696392 0.042667652282722734 -12191.041338893403 4 150 19.737528499999826 1.3803803999999218
0.18970269179357047 0.09967662880468209 -12082.493038540468 5 150 16.688825700000052 1.9961840999999367
0.19105231701549164 0.11134164588102391 -12192.469152479567 4 150 19.662408300000152 1.0989788000001681
0.1893126159407782 0.11565365571465502 -12089.157932014126 5 150 17.056236200000058 1.4712851999997838
0.14684728398716795 0.09280618256181605 -12519.415244418064 3 150 19.94849340000019 1.1207617999998547
0.18816765085787057 0.09980040674934021 -12081.835691743589 5 150 18.33240029999979 1.3857278999998925
0.03341390381055498 0.01764680676704411 -12906.324907312923 3 150 28.358341700000437 1.4759612000002562
0.18838452857351407 0.09731632969612058 -12081.217065002285 5 150 15.635555199999999 1.3221260000000257
0.03643374477825756 -0.15695049520681792 -12937.087966179475 3 150 18.123584200000096 1.0212553999999727
0.19112334611884485 0.0991690027031008 -12207.44633740155 4 150 18.056887299999744 1.2530782999997427
0.19094963072448878 0.09554977460673553 -12203.655484392679 4 150 16.087760700000217 1.1811204000000544
0.19105592765074955 0.10871596563970154 -12203.99841140448 4 150 16.869829700000082 1.1960556999997607
0.18931909084411802 0.11145879656260059 -12073.381468214464 5 150 16.366048599999885 1.354049500000201
0.03377783459433348 0.01653162146321685 -13028.604378321765 2 150 14.495601399999941 0.8962759000000915
0.19109185905343684 0.08627753800152016 -12196.726316707023 4 150 15.979260300000078 1.1766014999998333
0.190950607415466 -0.0037918940637480243 -12203.177329496917 4 150 16.5033226999999 1.3251194000004034
0.1910729882379002 0.10041890395284636 -12203.524438610575 4 150 18.769371299999875 1.1123003000002427
0.19100538841708536 0.11908676211982705 -12202.67554361135 4 150 16.504393000000164 1.1101588999999876
0.19106840722095 0.039726127428069025 -12206.037916660043 4 150 16.810155699999996 1.1083660999997846
0.19100783063046323 0.11849740446072943 -12209.412639733044 4 150 15.257601199999954 1.0992636000000857
0.18952150459046768 0.1190808848133964 -12130.068250333883 5 150 15.252102599999944 1.312945199999831
0.1889568308527385 0.11807578018268772 -12080.264034966493 5 150 15.921703099999831 1.3243913000001157
