date, time: 2019-11-15, 00-46-14
1:nMSE_train 2:nMAE_train 3:VLB 4:nMSE_test 5:nMAE_test 6:used_labels 7:mf_iter 8:gibbs_iter 9:inf_time 10:pred_time
1.305650029632345 0.00017240528126802072 -4286.914428649892 0.7389232634806747 0.00020210659035222687 3 150 150 2.8390946000000667 0.23981319999995776
1.256981639998177 0.0001912311505818658 -4296.678018487618 0.737909789400585 0.00020155222147104305 3 150 150 2.5639046000000008 0.2394202000000405
1.003553049135172 0.0001715133848183179 -4432.035539323779 1.067585845044865 0.00032054871875301846 2 150 150 2.7201294999999845 0.16787679999993088
0.9816623409661691 0.00014020934008927892 -4198.613558753076 0.7189368971882004 0.00019969178047706462 4 150 150 2.4360024000000067 0.31072790000007444
0.9285282305280794 0.00015180166432543024 -4305.728984394797 0.7388315433019088 0.0002025375770282163 4 150 150 3.0151645000000826 0.3110610999999608
0.99148063176743 0.00017033346536550917 -4437.166337424221 1.0681443091513896 0.00032061064196357256 2 150 150 2.7451889000000165 0.15695679999998902
0.9272704112132564 0.00014474085039939562 -4215.911811711975 0.7062191276543592 0.00019839969052198953 4 150 150 5.336885400000028 0.30888370000002396
1.039603513077224 0.00017497016833438087 -4421.585669255827 1.063401425358516 0.00031889903674277455 3 150 150 2.670818000000054 0.24080989999993108
0.9681014008780893 0.00014342273983211483 -4287.026487314644 0.7389131072997486 0.00020214934873804841 3 150 150 2.599269900000081 0.3238033000000087
0.9937711160165806 0.000171594606528506 -4433.361841997412 1.0679065031657187 0.000320572487513697 2 150 150 2.7067643000000317 0.1834476999999879
1.0568643373771764 0.00017231647130758703 -4430.345045323386 1.0679664951752017 0.0003205836355469254 2 150 150 2.7297903000001043 0.1591851000000588
0.9875229421219563 0.00017090281667852007 -4439.569820632935 1.0675400419986105 0.0003205613805303888 2 150 150 2.739009699999997 0.166849799999909
1.0516208801155775 0.00017364865548637215 -4429.364671774802 1.0675918043544343 0.0003205675910369147 2 150 150 2.4474526000000196 0.16901589999997668
